Accession,Platform,SeqClass,Species,Cells,PMID,Date,Title
E-MTAB-6108,10X Genomics,shortread,Human,1245,29437159,2/14/18,Single Cell Rna Sequencing Of Stem Cell-Derived Retinal Ganglion Cells.
E-MTAB-6142,Smart-Seq,longread,Human,89,29045817,10/19/17,Transcriptomic Characterization Of The Human Cell Cycle In Individual Unsynchronized Cells.
E-MTAB-6149,10X Genomics,shortread,Human,38090,29988129,7/11/18,Phenotype Molding Of Stromal Cells In The Lung Tumor Microenvironment.
E-MTAB-6153,10X Genomics,shortread,Mouse,19196,29311656,1/10/18,Defining Murine Organogenesis At Single-Cell Resolution Reveals A Role For The Leukotriene Pathway In Regulating Blood Progenitor Formation.
E-MTAB-6173,10X Genomics,shortread,Mouse,10876,29346760,1/19/18,Single-Cell Transcriptional Profiling Reveals Cellular Diversity And Intercommunication In The Mouse Heart.
E-MTAB-6308,10X Genomics,shortread,Mouse;Human,72540,31935371,1/15/20,An Integrated Gene Expression Landscape Profiling Approach To Identify Lung Tumor Endothelial Cell Heterogeneity And Angiogenic Candidates.
E-MTAB-6362,Smart-Seq,longread,Mouse,314,30602787,1/4/19,Genomic Encoding Of Transcriptional Burst Kinetics.
E-MTAB-6385,Smart-Seq,longread,Mouse,347,31657037,10/28/19,Biologically Indeterminate Yet Ordered Promiscuous Gene Expression In Single Medullary Thymic Epithelial Cells.
E-MTAB-6386,Smart-Seq,longread,Human,111,29659703,4/17/18,B-Cell Receptor Reconstruction From Single-Cell Rna-Seq With Vdjpuzzle.
E-MTAB-6487,10X Genomics,shortread,Mouse,11831,30042420,7/26/18,Interferon Gene Therapy Reprograms The Leukemia Microenvironment Inducing Protective Immunity To Multiple Tumor Antigens.
E-MTAB-6524,10X Genomics,shortread,Human,9982,30267684,9/30/18,Single-Cell Profiling Identifies Key Pathways Expressed By Ipscs Cultured In Different Commercial Media.
E-MTAB-6653,10X Genomics,shortread,Human,30631,29988129,7/11/18,Phenotype Molding Of Stromal Cells In The Lung Tumor Microenvironment.
E-MTAB-6677,10X Genomics,shortread,Mouse,2793,29925944,6/22/18,A Stromal Cell Population That Inhibits Adipogenesis In Mammalian Fat Depots.
E-MTAB-6678,Smart-Seq,longread,Human,4732,30429548,11/16/18,Single-Cell Reconstruction Of The Early Maternal-Fetal Interface In Humans.
E-MTAB-6701,10X Genomics,shortread,Human,120943,30429548,11/16/18,Single-Cell Reconstruction Of The Early Maternal-Fetal Interface In Humans.
E-MTAB-6818,Smart-Seq,longread,Mouse,51,29909970,6/19/18,Reversible De-Differentiation Of Mature White Adipocytes Into Preadipocyte-Like Precursors During Lactation.
E-MTAB-6819,Fluidigm,longread,Mouse;Human,1202,30673604,1/24/19,Transcriptional Heterogeneity In Naive And Primed Human Pluripotent Stem Cells At Single-Cell Resolution.
E-MTAB-6879,Nextera XT,shortread,Mouse;Human,1630,31422913,8/20/19,Defining The Identity And Dynamics Of Adult Gastric Isthmus Stem Cells.
E-MTAB-6911,Smart-Seq,longread,Mouse;Human,303,30581079,12/26/18,Identification Of Embryonic Neural Plate Border Stem Cells And Their Generation By Direct Reprogramming From Adult Human Blood Cells.
E-MTAB-6912,Smart-Seq,longread,Mouse;Human,172,30581079,12/26/18,Identification Of Embryonic Neural Plate Border Stem Cells And Their Generation By Direct Reprogramming From Adult Human Blood Cells.
E-MTAB-6925,Smart-Seq,longread,Mouse;Human,82,30581079,12/26/18,Identification Of Embryonic Neural Plate Border Stem Cells And Their Generation By Direct Reprogramming From Adult Human Blood Cells.
E-MTAB-6945,Nextera XT,shortread,Mouse;Human,9578,30443254,11/18/18,Single-Cell Analysis Identifies Thymic Maturation Delay In Growth-Restricted Neonatal Mice.
E-MTAB-6967,10X Genomics,shortread,Mouse,130980,30787436,2/23/19,A Single-Cell Molecular Map Of Mouse Gastrulation And Early Organogenesis.
E-MTAB-6970,Smart-Seq,longread,Mouse,253,30787436,2/23/19,A Single-Cell Molecular Map Of Mouse Gastrulation And Early Organogenesis.
E-MTAB-6976,10X Genomics,shortread,Mouse,805,30173915,9/4/18,Self-Maintaining Gut Macrophages Are Essential For Intestinal Homeostasis.
E-MTAB-6987,Fluidigm,longread,Mouse,91,31996681,1/31/20,Single-Cell Transcriptomics Identifies Cd44 As A Marker And Regulator Of Endothelial To Haematopoietic Transition.
E-MTAB-7008,Smart-Seq,longread,Human,857,30595546,1/1/19,Method To Synchronize Cell Cycle Of Human Pluripotent Stem Cells Without Affecting Their Fundamental Characteristics.
E-MTAB-7037,Fluidigm,longread,Human,461,30446505,11/18/18,Single-Cell Transcriptional Analysis Reveals Ilc-Like Cells In Zebrafish.
E-MTAB-7051,Smart-Seq,longread,Human,642,30356220,10/26/18,Gene Expression Variability Across Cells And Species Shapes Innate Immunity.
E-MTAB-7052,Fluidigm,longread,Human,1175,30356220,10/26/18,Gene Expression Variability Across Cells And Species Shapes Innate Immunity.
E-MTAB-7094,10X Genomics,shortread,Mouse,3050,30988302,4/17/19,Origin And Differentiation Trajectories Of Fibroblastic Reticular Cells In The Splenic White Pulp.
E-MTAB-7098,Smart-Seq,longread,Mouse,420,28479188,5/10/17,Vitamin A-Retinoic Acid Signaling Regulates Hematopoietic Stem Cell Dormancy.
E-MTAB-7117,Smart-Seq,longread,Zebrafish,883,30446505,11/18/18,Single-Cell Transcriptional Analysis Reveals Ilc-Like Cells In Zebrafish.
E-MTAB-7142,Drop-seq,shortread,Mouse,17729,30643263,1/16/19,Reference-Based Analysis Of Lung Single-Cell Sequencing Reveals A Transitional Profibrotic Macrophage.
E-MTAB-7149,10X Genomics,shortread,Mouse,7849,31141696,5/30/19,Single-Cell Transcriptional Profiling Of Aortic Endothelium Identifies A Hierarchy From Endovascular Progenitors To Differentiated Cells.
E-MTAB-7159,10X Genomics,shortread,Zebrafish,11264,30446505,11/18/18,Single-Cell Transcriptional Analysis Reveals Ilc-Like Cells In Zebrafish.
E-MTAB-7249,Fluidigm,longread,Human,183,32054838,2/15/20,A Living Biobank Of Ovarian Cancer Ex Vivo Models Reveals Profound Mitotic Heterogeneity.
E-MTAB-7303,Smart-Seq,longread,Human,74,27460926,7/28/16,Single-Cell Tcrseq: Paired Recovery Of Entire T-Cell Alpha And Beta Chain Transcripts In T-Cell Receptors From Single-Cell Rnaseq.
E-MTAB-7311,10X Genomics,shortread,Mouse,33694,30737144,2/10/19,Single-Cell Transcriptomics Of Regulatory T Cells Reveals Trajectories Of Tissue Adaptation.
E-MTAB-7316,10X Genomics,shortread,Human,19076,31436334,8/23/19,A Single-Cell Transcriptome Atlas Of The Adult Human Retina.
E-MTAB-7320,10X Genomics,shortread,Mouse,38139,30846445,3/9/19,Single Cell Transcriptomics Reveals Spatial And Temporal Dynamics Of Gene Expression In The Developing Mouse Spinal Cord.
E-MTAB-7365,Fluidigm,longread,Mouse,110,28263961,3/7/17,Power Analysis Of Single-Cell Rna-Sequencing Experiments.
E-MTAB-7376,10X Genomics,shortread,Mouse,39734,30912746,3/26/19,"Single-cell expression profiling reveals dynamic flux of cardiac stromal, vascular and immune cells in health and injury"
E-MTAB-7381,Smart-Seq,longread,Human,247,30692988,1/30/19,Maturing Human Cd127+ Ccr7+ Pdl1+ Dendritic Cells Express Aire In The Absence Of Tissue Restricted Antigens.
E-MTAB-7407,10X Genomics,shortread,Human,90008,31597962,10/11/19,Decoding Human Fetal Liver Haematopoiesis.
E-MTAB-7417,10X Genomics,shortread,Mouse,2629,32433953,5/21/20,Single-Cell Rna Sequencing Reveals A Dynamic Stromal Niche That Supports Tumor Growth.
E-MTAB-7427,Fluidigm,longread,Mouse,5815,32433953,5/21/20,Single-Cell Rna Sequencing Reveals A Dynamic Stromal Niche That Supports Tumor Growth.
E-MTAB-7606,Smart-Seq,longread,Human,186,30778243,2/20/19,"Human CD8+ T cell cross-reactivity across influenza A, B and C viruses"
E-MTAB-7660,10X Genomics,shortread,Mouse,3875,31092921,5/17/19,Tracing The Origin Of Adult Intestinal Stem Cells.
E-MTAB-7678,10X Genomics,shortread,Mouse,6433,32614947,7/3/20,Single-Cell Analyses And Machine Learning Define Hematopoietic Progenitor And Hsc-Like Cells Derived From Human Pscs.
E-MTAB-7703,10X Genomics,shortread,Mouse,17526,30988302,4/17/19,Origin And Differentiation Trajectories Of Fibroblastic Reticular Cells In The Splenic White Pulp.
E-MTAB-7895,10X Genomics,shortread,Mouse,66074,32130914,3/5/20,Dynamic Interstitial Cell Response During Myocardial Infarction Predicts Resilience To Rupture In Genetically Diverse Mice.
E-MTAB-7901,Smart-Seq,longread,Mouse;Human,939,31422912,8/20/19,Distinct Molecular Trajectories Converge To Induce Naive Pluripotency.
E-MTAB-7919,10X Genomics,shortread,Mouse,5862,28652613,6/28/17,Flipping Between Polycomb Repressed And Active Transcriptional States Introduces Noise In Gene Expression.
E-MTAB-8007,10X Genomics,shortread,Human,39525,32066951,2/19/20,Distinct Microbial And Immune Niches Of The Human Colon.
E-MTAB-8077,10X Genomics,shortread,Mouse,37994,32059779,2/16/20,Single-Cell Transcriptome Atlas Of Murine Endothelial Cells.
E-MTAB-8142,10X Genomics,shortread,Human,181226,33479125,1/23/21,Developmental Cell Programs Are Co-Opted In Inflammatory Skin Disease.
E-MTAB-8221,10X Genomics,shortread,Human,32697,32109386,2/29/20,In Vitro And In Vivo Development Of The Human Airway At Single-Cell Resolution.
E-MTAB-8263,10X Genomics,shortread,Mouse,54321,26950746,3/8/16,T Cell Fate And Clonality Inference From Single-Cell Transcriptomes.
E-MTAB-8474,10X Genomics,shortread,Human,39520,32066951,2/19/20,Distinct Microbial And Immune Niches Of The Human Colon.
E-MTAB-8483,10X Genomics,shortread,Mouse,14006,31699795,11/9/19,Single-Cell Rna Sequencing Reveals Stromal Evolution Into Lrrc15
E-MTAB-8495,10X Genomics,shortread,Human,70797,33602855,2/20/21,Cholangiocyte Organoids Can Repair Bile Ducts After Transplantation In The Human Liver.
E-MTAB-8559,Unknown,shortread,Human,18307,29311656,1/10/18,Defining Murine Organogenesis At Single-Cell Resolution Reveals A Role For The Leukotriene Pathway In Regulating Blood Progenitor Formation.
E-MTAB-8561,Smart-Seq,longread,Mouse,346,33116305,10/30/20,Snrna-Seq Reveals A Subpopulation Of Adipocytes That Regulates Thermogenesis.
E-MTAB-8581,10X Genomics,shortread,Mouse;Human,241561,32079746,2/23/20,A Cell Atlas Of Human Thymic Development Defines T Cell Repertoire Formation.
E-MTAB-8629,Drop-seq,shortread,Mouse;Human,9754,30356220,10/26/18,Gene Expression Variability Across Cells And Species Shapes Innate Immunity.
E-MTAB-8809,10X Genomics,shortread,Human,26798,32317663,4/23/20,Exploiting Evolutionary Steering To Induce Collateral Drug Sensitivity In Cancer.
E-MTAB-8810,10X Genomics,shortread,Mouse,38335,32795101,8/17/20,High-Resolution Transcriptomic Profiling Of The Heart During Chronic Stress Reveals Cellular Drivers Of Cardiac Fibrosis And Hypertrophy.
E-MTAB-8901,10X Genomics,shortread,Human,112996,33290721,12/9/20,Single-Cell Sequencing Of Developing Human Gut Reveals Transcriptional Links To Childhood Crohn'S Disease.
E-MTAB-9024,10X Genomics,shortread,Human,131385,33575589,2/13/21,Comparative Performance Of The Bgi And Illumina Sequencing Technology For Single-Cell Rna-Sequencing.
E-MTAB-9221,10X Genomics,shortread,Human,6002,32810439,8/19/20,Elevated Calprotectin And Abnormal Myeloid Cell Subsets Discriminate Severe From Mild Covid-19.
E-MTAB-9268,Smart-Seq,longread,Mouse,380,27460926,7/28/16,Single-Cell Tcrseq: Paired Recovery Of Entire T-Cell Alpha And Beta Chain Transcripts In T-Cell Receptors From Single-Cell Rnaseq.
E-MTAB-9492,10X Genomics,shortread,Human,1785,30846445,3/9/19,Single Cell Transcriptomics Reveals Spatial And Temporal Dynamics Of Gene Expression In The Developing Mouse Spinal Cord.
E-MTAB-9510,10X Genomics,shortread,Human,3373,33586340,2/16/21,Myogenesis Modelled By Human Pluripotent Stem Cells: A Multi-Omic Study Of Duchenne Myopathy Early Onset.
E-MTAB-9969,10X Genomics,shortread,Human,65708,30429548,11/16/18,Single-Cell Reconstruction Of The Early Maternal-Fetal Interface In Humans.
E105114,10X Genomics,shortread,Human,53309,32246845,4/5/20,Sars-Cov-2 Receptor Ace2 And Tmprss2 Are Primarily Expressed In Bronchial Transient Secretory Cells.
EGAS00001002185,10x Genomics,shortread,Human,30950,31554641,9/27/19,The Phenotypes Of Proliferating Glioblastoma Cells Reside On A Single Axis Of Variation.
EGAS00001002927,10x Genomics,shortread,Human,64052,30355494,10/26/18,Transcriptional Programming Of Normal And Inflamed Human Epidermis At Single-Cell Resolution.
EGAS00001004344,10x Genomics,shortread,Human,72812,33208946,11/20/20,A Molecular Cell Atlas Of The Human Lung From Single-Cell Rna Sequencing.
EGAS00001004481,10X Genomics,shortread,Human,161072,32591762,6/28/20,Covid-19 Severity Correlates With Airway Epithelium-Immune Cell Interactions Identified By Single-Cell Analysis.
EGAS00001004772,10X Genomics,shortread,Human,87465,33361824,12/29/20,Hypertension Delays Viral Clearance And Exacerbates Airway Hyperinflammation In Patients With Covid-19.
ENCSR713GIS,10X Genomics,shortread,Mouse,86851,32728245,7/31/20,The Changing Mouse Embryo Transcriptome At Whole Tissue And Single-Cell Resolution.
GSE100337,Nextera XT,shortread,Human,311,28666115,7/1/17,Ifnγ-Dependent Tissue-Immune Homeostasis Is Co-Opted In The Tumor Microenvironment.
GSE100426,Smart-Seq,longread,Mouse,1572,30540934,12/13/18,Heterogeneous Responses Of Hematopoietic Stem Cells To Inflammatory Stimuli Are Altered With Age.
GSE100471,Nextera XT,shortread,Mouse,563,29371425,1/27/18,Defining The Earliest Step Of Cardiovascular Lineage Segregation By Single-Cell Rna-Seq.
GSE100597,Smart-Seq,longread,Mouse,669,28768204,8/3/17,Single-Cell Landscape Of Transcriptional Heterogeneity And Cell Fate Decisions During Mouse Early Gastrulation.
GSE100618,Smart-Seq,longread,Human,323,29167569,11/24/17,Single-Cell Analysis Reveals The Continuum Of Human Lympho-Myeloid Progenitor Cells.
GSE100861,Nextera XT,shortread,Mouse,22964,29689192,4/25/18,Hippo Signaling Plays An Essential Role In Cell State Transitions During Cardiac Fibroblast Development.
GSE101334,Smart-Seq,longread,Mouse,165,28886383,9/9/17,Anatomically And Functionally Distinct Lung Mesenchymal Populations Marked By Lgr5 And Lgr6.
GSE101712,Unknown,shortread,Mouse,548,28899870,9/14/17,Mbd3/Nurd Controls Lymphoid Cell Fate And Inhibits Tumorigenesis By Repressing A B Cell Transcriptional Program.
GSE101901,Nextera XT,shortread,Mouse,7071,30254269,9/27/18,Single Cell Molecular Alterations Reveal Target Cells And Pathways Of Concussive Brain Injury.
GSE101984,Drop-seq,shortread,Mouse,5979,28957441,9/29/17,Diversity Amongst Trigeminal Neurons Revealed By High Throughput Single Cell Sequencing.
GSE102090,10X Genomics,shortread,Human,12747,29706538,5/1/18,Hmgb2 Loss Upon Senescence Entry Disrupts Genomic Organization And Induces Ctcf Clustering Across Cell Types.
GSE102130,Smart-Seq,longread,Human,3870,29674595,4/21/18,Developmental And Oncogenic Programs In H3K27M Gliomas Dissected By Single-Cell Rna-Seq.
GSE102455,Fluidigm,longread,Mouse,339,29030486,10/17/17,Single-Cell Rna Sequencing Reveals Developmental Heterogeneity Among Early Lymphoid Progenitors.
GSE102475,Smart-Seq,longread,Unknown,150,29240790,12/15/17,Single-Cell Rna Sequencing Reveals Intrinsic And Extrinsic Regulatory Heterogeneity In Yeast Responding To Stress.
GSE102479,10X Genomics,shortread,Mouse;Human,252,29487567,3/1/18,Regulatory Architecture Of The Lβt2 Gonadotrope Cell Underlying The Response To Gonadotropin-Releasing Hormone.
GSE102596,10X Genomics,shortread,Human,3514,29449449,2/17/18,Conserved And Divergent Features Of Mesenchymal Progenitor Cell Types Within The Cortical Nephrogenic Niche Of The Human And Mouse Kidney.
GSE102665,10X Genomics,shortread,Mouse,3106,29728440,5/8/18,Peripheral PDGFRα + gp38 + mesenchymal cells support the differentiation of fetal liver-derived ILC2
GSE102827,Nextera XT,longread,Mouse,110552,29230054,12/13/17,Single-Cell Analysis Of Experience-Dependent Transcriptomic States In The Mouse Visual Cortex.
GSE102934,10X Genomics,shortread,Mouse;Human,1711,29724792,5/5/18,Bigscale: An Analytical Framework For Big-Scale Single-Cell Data.
GSE102962,Unknown,shortread,Mouse,293,29483303,2/28/18,Single-Cell Rnaseq Reveals Seven Classes Of Colonic Sensory Neuron.
GSE103154,Unknown,shortread,Human,1762,29802404,5/29/18,Tracing The Temporal-Spatial Transcriptome Landscapes Of The Human Fetal Digestive Tract Using Single-Cell Rna-Sequencing.
GSE103221,Fluidigm,longread,Mouse,151554,30772174,2/18/19,Resolving Cell Fate Decisions During Somatic Cell Reprogramming By Single-Cell Rna-Seq.
GSE103224,Nextera XT,shortread,Human,16306,30041684,7/26/18,Single-Cell Transcriptome Analysis Of Lineage Diversity In High-Grade Glioma.
GSE103322,Smart-Seq,longread,Human,5766,29198524,12/5/17,Single-Cell Transcriptomic Analysis Of Primary And Metastatic Tumor Ecosystems In Head And Neck Cancer.
GSE103334,Smart-Seq,longread,Mouse,2002,29020624,10/12/17,Temporal Tracking Of Microglia Activation In Neurodegeneration At Single-Cell Resolution.
GSE103866,Smart-Seq,longread,Human,124,29315726,1/10/18,Single-Cell Analysis Reveals Cancer Stem Cell Heterogeneity In Hepatocellular Carcinoma.
GSE103867,10X Genomics,shortread,Human,3388,29315726,1/10/18,Single-Cell Analysis Reveals Cancer Stem Cell Heterogeneity In Hepatocellular Carcinoma.
GSE103892,Drop-seq,shortread,Mouse,16478,29466745,2/22/18,Massively Parallel Single Nucleus Transcriptional Profiling Defines Spinal Cord Neurons And Their Activity During Behavior.
GSE103918,10X Genomics,shortread,Mouse;Human,1384,29657097,4/17/18,Single-Cell Transcriptomic Profiling Of Pluripotent Stem Cell-Derived Scgb3A2+ Airway Epithelium.
GSE103919,Fluidigm,longread,Mouse;Human,244,29657097,4/17/18,Single-Cell Transcriptomic Profiling Of Pluripotent Stem Cell-Derived Scgb3A2+ Airway Epithelium.
GSE103983,Nextera XT,shortread,Mouse;Human,20231,29513653,3/8/18,Developmental Diversification Of Cortical Inhibitory Interneurons.
GSE104154,10X Genomics,shortread,Mouse,10014,29590628,3/29/18,Single-Cell Deconvolution Of Fibroblast Heterogeneity In Mouse Pulmonary Fibrosis.
GSE104156,10X Genomics,shortread,Mouse,41791,29513653,3/8/18,Developmental Diversification Of Cortical Inhibitory Interneurons.
GSE104157,Smart-Seq,longread,Mouse,1394,29513653,3/8/18,Developmental Diversification Of Cortical Inhibitory Interneurons.
GSE104556,10X Genomics,shortread,Mouse;Human,2359,30204153,9/12/18,Single-Cell Rna Sequencing Of Adult Mouse Testes.
GSE104600,10X Genomics,shortread,Human,941,29309048,1/9/18,Early B Cell Changes Predict Autoimmunity Following Combination Immune Checkpoint Blockade.
GSE104995,Smart-Seq,longread,Human,341,30291229,10/7/18,Myelo-Lymphoid Lineage Restriction Occurs In The Human Haematopoietic Stem Cell Compartment Before Lymphoid-Primed Multipotent Progenitors.
GSE105054,Unknown,shortread,Mouse,469,28296635,3/16/17,Dynamics Of Embryonic Stem Cell Differentiation Inferred From Single-Cell Transcriptomics Show A Series Of Transitions Through Discrete Cell States.
GSE105451,Smart-Seq,longread,Human,165,30765193,2/16/19,Unravelling Intratumoral Heterogeneity Through High-Sensitivity Single-Cell Mutational Analysis And Parallel Rna Sequencing.
GSE106218,Fluidigm,longread,Human,432,31558476,9/29/19,Alterations In The Transcriptional Programs Of Myeloma Cells And The Microenvironment During Extramedullary Progression Affect Proliferation And Immune Evasion.
GSE106236,Nextera XT,shortread,Mouse,605,30250253,9/27/18,Discovery Of A Periosteal Stem Cell Mediating Intramembranous Bone Formation.
GSE106466,Smart-Seq,longread,Zebrafish,284,29700225,4/28/18,Single-Cell Reconstruction Of Developmental Trajectories During Zebrafish Embryogenesis.
GSE106481,Unknown,shortread,Human;Chimpanzee,90,30154223,8/30/18,Single-Cell Rna-Sequencing Reveals The Existence Of Naive And Primed Pluripotency In Pre-Implantation Rhesus Monkey Embryos.
GSE106514,Fluidigm,longread,Mouse,206,30865898,3/14/19,Single-Cell Analysis Reveals Heterogeneity Of High Endothelial Venules And Different Regulation Of Genes Controlling Lymphocyte Entry To Lymph Nodes.
GSE106542,Smart-Seq,longread,Human,38,29352091,1/21/18,Precursors Of Human Cd4
GSE106543,10X Genomics,shortread,Human,6201,29352091,1/21/18,Precursors Of Human Cd4
GSE106973,Nextera XT,shortread,Mouse,131,29588278,3/29/18,A Single-Cell Hematopoietic Landscape Resolves 8 Lineage Trajectories And Defects In Kit Mutant Mice.
GSE107185,10X Genomics,shortread,Human,91546,30448000,11/19/18,Mapping Cellular Reprogramming Via Pooled Overexpression Screens With Paired Fitness And Single-Cell Rna-Sequencing Readout.
GSE107585,10X Genomics,shortread,Mouse,21683,29622724,4/7/18,Single-Cell Transcriptomics Of The Mouse Kidney Reveals Potential Cellular Targets Of Kidney Disease.
GSE107618,Smart-Seq,longread,Mouse;Human,2047,31269016,7/4/19,Dissecting The Transcriptome Landscape Of The Human Fetal Neural Retina And Retinal Pigment Epithelium By Single-Cell Rna-Seq Analysis.
GSE107632,Smart-Seq,longread,Mouse,962,29320739,1/11/18,"Variation In Activity State, Axonal Projection, And Position Define The Transcriptional Identity Of Individual Neocortical Projection Neurons."
GSE107653,Unknown,shortread,Mouse,163,29300724,1/5/18,A Novel Prospective Isolation Of Murine Fetal Liver Progenitors To Study In Utero Hematopoietic Defects.
GSE107727,10X Genomics,shortread,Mouse,59322,29588278,3/29/18,A Single-Cell Hematopoietic Landscape Resolves 8 Lineage Trajectories And Defects In Kit Mutant Mice.
GSE107858,Nextera XT,shortread,Human,62,30463022,11/22/18,"Single-Cell Transcriptome Analysis Reveals Estrogen Signaling Coordinately Augments One-Carbon, Polyamine, And Purine Synthesis In Breast Cancer."
GSE108020,Smart-Seq,longread,Mouse,442,29499164,3/3/18,Single-Cell Rna-Seq Of Mouse Dopaminergic Neurons Informs Candidate Gene Selection For Sporadic Parkinson Disease.
GSE108097,Drop-seq,shortread,Mouse;Human,304985,29775597,5/19/18,Mapping The Mouse Cell Atlas By Microwell-Seq.
GSE108108,Smart-Seq,longread,Mouse,263,29031728,10/17/17,Single-Cell Rna-Sequencing Reveals A Distinct Population Of Proglucagon-Expressing Cells Specific To The Mouse Upper Small Intestine.
GSE108155,Unknown,shortread,Mouse,1364,30021172,7/19/18,Differences In Cell Cycle Status Underlie Transcriptional Heterogeneity In The Hsc Compartment.
GSE108383,Fluidigm,longread,Human,299,30061114,8/1/18,Single-Cell Rna-Seq Analysis Identifies Markers Of Resistance To Targeted Braf Inhibitors In Melanoma Cell Populations.
GSE108699,10X Genomics,shortread,Human,56862,29457792,2/20/18,On The Design Of Crispr-Based Single-Cell Molecular Screens.
GSE108788,10X Genomics,shortread,Mouse,886,29398364,2/6/18,Graded Arrays Of Spinal And Supraspinal V2A Interneuron Subtypes Underlie Forelimb And Hindlimb Motor Control.
GSE108849,Fluidigm,longread,Human,508,29630593,4/10/18,A Multitask Clustering Approach For Single-Cell Rna-Seq Analysis In Recessive Dystrophic Epidermolysis Bullosa.
GSE108892,Smart-Seq,longread,Mouse,59513,31296938,7/13/19,Author Correction: The Bone Marrow Microenvironment At Single-Cell Resolution.
GSE108970,Clontech SMRTr,longread,Mouse,261,30404016,11/8/18,"The Mammalian Spermatogenesis Single-Cell Transcriptome, From Spermatogonial Stem Cells To Spermatids."
GSE108974,Clontech SMRTr,longread,Mouse,285,30404016,11/8/18,"The Mammalian Spermatogenesis Single-Cell Transcriptome, From Spermatogonial Stem Cells To Spermatids."
GSE108977,Clontech SMRTr,longread,Mouse;Human,613,30404016,11/8/18,"The Mammalian Spermatogenesis Single-Cell Transcriptome, From Spermatogonial Stem Cells To Spermatids."
GSE108989,Smart-Seq,longread,Human,10487,30479382,11/28/18,Lineage Tracking Reveals Dynamic Relationships Of T Cells In Colorectal Cancer.
GSE109037,10X Genomics,shortread,Mouse;Human,21243,30404016,11/8/18,"The Mammalian Spermatogenesis Single-Cell Transcriptome, From Spermatogonial Stem Cells To Spermatids."
GSE109100,CEL-seq2,shortread,Mouse,334,31374198,8/3/19,Interconversion Between Tumorigenic And Differentiated States In Acute Myeloid Leukemia.
GSE109100,CEL-seq2,shortread,Mouse,334,31374198,8/3/19,Interconversion Between Tumorigenic And Differentiated States In Acute Myeloid Leukemia.
GSE109113,10X Genomics,shortread,Mouse,472,29550076,3/20/18,Long-Term Correction Of Diabetes In Mice By In Vivo Reprogramming Of Pancreatic Ducts.
GSE109262,Unknown,shortread,Mouse,71,29472610,2/24/18,Scnmt-Seq Enables Joint Profiling Of Chromatin Accessibility Dna Methylation And Transcription In Single Cells.
GSE109308,KAPA Hyper Prep Kit,shortread,Human,8292,31744909,11/21/19,Genomic And Transcriptomic Profiling Of Carcinogenesis In Patients With Familial Adenomatous Polyposis.
GSE109324,Smart-Seq,longread,Mouse,56,30792200,2/23/19,Bone Marrow Endothelial Cell-Derived Interleukin-4 Contributes To Thrombocytopenia In Acute Myeloid Leukemia.
